persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
SVK_Male_30-49_Lower,qwen_lora,0.39455284566666665,0.39355826558265583,0.04152528286303475,0.3104742547425475,0.47314363143631444,SVK,Male,30-49,Lower
SVK_Male_30-49_Medium,bielik_lora,0.21835341366666666,0.22233991967871486,0.018602168482538452,0.18488487282463184,0.25980053547523424,SVK,Male,30-49,Medium
SVK_Male_30-49_Medium,qwen_lora,0.3386880856666667,0.3387161981258367,0.024325356633329173,0.2918340026773762,0.3868808567603748,SVK,Male,30-49,Medium
SVK_Male_50-64_Higher,bielik_lora,0.19686868733333332,0.20643818181818183,0.03596512872519091,0.1413131313131313,0.2827272727272727,SVK,Male,50-64,Higher
SVK_Male_50-64_Higher,qwen_lora,0.3020202022222222,0.30281010101010103,0.05460018139640083,0.19595959595959597,0.4080808080808081,SVK,Male,50-64,Higher
SVK_Male_50-64_Lower,bielik_lora,0.16979166666666667,0.17108958333333335,0.01961145986672706,0.13331597222222227,0.2090451388888889,SVK,Male,50-64,Lower
SVK_Male_50-64_Lower,qwen_lora,0.3179861111111111,0.31706249999999997,0.032262920314194116,0.25722222222222224,0.3823090277777777,SVK,Male,50-64,Lower
SVK_Male_50-64_Medium,bielik_lora,0.16354838699999996,0.1641478136200717,0.020702253587412414,0.12409677419354838,0.20655913978494622,SVK,Male,50-64,Medium
SVK_Male_50-64_Medium,qwen_lora,0.2777777781111111,0.278168458781362,0.03341763860976393,0.2168010752688172,0.34767025089605735,SVK,Male,50-64,Medium
SVK_Male_65+_Higher,bielik_lora,0.3061437908888889,0.3082858823529412,0.043610625997668316,0.22117647058823528,0.3976470588235294,SVK,Male,65+,Higher
SVK_Male_65+_Higher,qwen_lora,0.33477124133333336,0.3324977777777778,0.08043624725572646,0.17790849673202613,0.49163398692810456,SVK,Male,65+,Higher
SVK_Male_65+_Lower,bielik_lora,0.24582375500000003,0.2461857471264368,0.033683882340600865,0.1806896551724138,0.3128735632183908,SVK,Male,65+,Lower
SVK_Male_65+_Lower,qwen_lora,0.33524904233333336,0.3353505747126437,0.038214723276198105,0.260536398467433,0.41570881226053635,SVK,Male,65+,Lower
SVK_Male_65+_Medium,bielik_lora,0.1728682168888889,0.17500945736434106,0.030305443916133767,0.1186046511627907,0.23565891472868217,SVK,Male,65+,Medium
SVK_Male_65+_Medium,qwen_lora,0.24547803644444446,0.24545736434108528,0.042853953808600895,0.16795865633074936,0.3359173126614987,SVK,Male,65+,Medium
