persona_id,model,base_model,country,sex,age_group,education,base_w1,post_w1_norm,delta_w1,pct_change,base_ci_lower,base_ci_upper,post_w1_ci_lower,post_w1_ci_upper
CHN_Male_30-49_Lower,qwen_lora,qwen,CHN,Male,30-49,Lower,0.5118250777777777,0.5166711286666666,0.004846050888888898,0.9468177897670222,0.4854975457385096,0.536813922356091,0.4885252119589468,0.5443485051316377
CHN_Male_30-49_Medium,bielik_lora,bielik,CHN,Male,30-49,Medium,0.15267973811111113,0.22705882344444442,0.07437908533333329,48.715753808278514,0.12653594771241827,0.18129493464052285,0.20173202614379082,0.25158905228758177
CHN_Male_30-49_Medium,qwen_lora,qwen,CHN,Male,30-49,Medium,0.526143791,0.5250326798888889,-0.0011111111111110628,-0.2111801241632561,0.4909926470588235,0.558843954248366,0.4923325163398693,0.5568954248366013
CHN_Male_50-64_Higher,bielik_lora,bielik,CHN,Male,50-64,Higher,0.12074074077777776,0.22333333322222218,0.10259259244444442,84.96932500461062,0.06814814814814812,0.21333333333333335,0.17444444444444443,0.2751851851851852
CHN_Male_50-64_Higher,qwen_lora,qwen,CHN,Male,50-64,Higher,0.4925925925555556,0.49592592588888895,0.003333333333333355,0.6766917293741916,0.4074074074074074,0.5740740740740741,0.40694444444444444,0.5774074074074075
CHN_Male_50-64_Lower,bielik_lora,bielik,CHN,Male,50-64,Lower,0.17220472477777782,0.2851181105555555,0.11291338577777771,65.56927280798315,0.14725940507436566,0.19801399825021868,0.27019247594050744,0.3061251093613298
CHN_Male_50-64_Lower,qwen_lora,qwen,CHN,Male,50-64,Lower,0.5306211725555555,0.6216097987777778,0.09098862622222226,17.14756796906664,0.5052384076990376,0.5538057742782152,0.5922790901137357,0.6496172353455819
CHN_Male_50-64_Medium,bielik_lora,bielik,CHN,Male,50-64,Medium,0.17480748088888895,0.25434543488888894,0.079537954,45.50031474371276,0.1407040704070407,0.2144114411441144,0.22464246424642464,0.2851540154015402
CHN_Male_50-64_Medium,qwen_lora,qwen,CHN,Male,50-64,Medium,0.5214521455555556,0.6137843786666666,0.09233223311111094,17.706751021752932,0.4818481848184819,0.55995599559956,0.5697799779977998,0.6577887788778879
CHN_Male_65+_Higher,bielik_lora,bielik,CHN,Male,65+,Higher,0.13148148122222222,0.3740740741111111,0.24259259288888887,184.50704284268994,0.07518518518518519,0.26111111111111107,0.337037037037037,0.4222222222222222
CHN_Male_65+_Higher,qwen_lora,qwen,CHN,Male,65+,Higher,0.6111111112222223,0.7025925927777777,0.09148148155555547,14.969696979096403,0.537037037037037,0.6666666666666666,0.5822222222222222,0.7766666666666667
CHN_Male_65+_Lower,bielik_lora,bielik,CHN,Male,65+,Lower,0.12502732277777776,0.43850637544444443,0.31347905266666665,250.72843735432215,0.09401639344262291,0.16332422586520945,0.4066074681238615,0.4676502732240437
CHN_Male_65+_Lower,qwen_lora,qwen,CHN,Male,65+,Lower,0.5829143898888889,0.7230054643333333,0.14009107444444446,24.03287290113865,0.5437295081967213,0.6211657559198542,0.6811111111111111,0.7630783242258653
CHN_Male_65+_Medium,bielik_lora,bielik,CHN,Male,65+,Medium,0.15708994744444446,0.4000529098888889,0.24296296244444446,154.66486964760705,0.09359788359788362,0.247169312169312,0.3206878306878307,0.46354497354497354
CHN_Male_65+_Medium,qwen_lora,qwen,CHN,Male,65+,Medium,0.637248677,0.7233333329999999,0.08608465599999993,13.508801054756828,0.5525925925925926,0.7113227513227512,0.628095238095238,0.8079894179894179
SVK_Female_18-29_Higher,bielik_lora,bielik,SVK,Female,18-29,Higher,0.1775757573333333,0.3260606057777778,0.14848484844444448,83.61774753167387,0.09676767676767678,0.2785858585858586,0.21414141414141413,0.4573737373737374
SVK_Female_18-29_Higher,qwen_lora,qwen,SVK,Female,18-29,Higher,0.3629292926666667,0.16838383822222222,-0.19454545444444446,-53.604230459051216,0.25181818181818183,0.474040404040404,0.07747474747474749,0.26939393939393935
SVK_Female_18-29_Medium,bielik_lora,bielik,SVK,Female,18-29,Medium,0.204074074,0.19999999955555559,-0.004074074444444409,-1.9963704181474855,0.12537037037037038,0.29666666666666663,0.14444444444444446,0.26481481481481484
SVK_Female_18-29_Medium,qwen_lora,qwen,SVK,Female,18-29,Medium,0.27777777733333336,0.2662962962222222,-0.011481481111111191,-4.1333332066133615,0.21759259259259264,0.3333333333333333,0.17370370370370372,0.3496296296296297
SVK_Female_30-49_Higher,bielik_lora,bielik,SVK,Female,30-49,Higher,0.33407407377777776,0.2088888888888889,-0.12518518488888886,-37.47228375829027,0.2731613756613756,0.4002116402116402,0.14539682539682539,0.2697354497354498
SVK_Female_30-49_Higher,qwen_lora,qwen,SVK,Female,30-49,Higher,0.35185185155555554,0.35185185155555554,0,0,0.28835978835978837,0.417989417989418,0.28835978835978837,0.4127645502645502
SVK_Female_30-49_Lower,bielik_lora,bielik,SVK,Female,30-49,Lower,0.27769647722222224,0.18433604322222225,-0.09336043399999999,-33.61959609062299,0.19639566395663957,0.35900406504065036,0.13284552845528458,0.23753252032520325
SVK_Female_30-49_Lower,qwen_lora,qwen,SVK,Female,30-49,Lower,0.26829268300000003,0.31436314388888886,0.04607046088888883,17.17171723572082,0.2005420054200542,0.33875338753387535,0.23841463414634143,0.3929539295392954
SVK_Female_30-49_Medium,bielik_lora,bielik,SVK,Female,30-49,Medium,0.240283688,0.22711583933333335,-0.013167848666666648,-5.480125919603269,0.20009456264775413,0.2892671394799054,0.18810874704491726,0.26378841607565007
SVK_Female_30-49_Medium,qwen_lora,qwen,SVK,Female,30-49,Medium,0.28250591022222227,0.23695035466666667,-0.0455555555555556,-16.125523009313717,0.24349881796690304,0.3238770685579196,0.2003995271867612,0.28790189125295507
